"","15-16QA","16-16QA","35-4QA","37-4QA","38-8aQA","39-8QA","40-16QA","74-12QA","88-12QA","89-12QA","95-8QA","117-8QA","133-12QA","138-8QA","179-4QA","184-4QA","202-16QA","206-12QA","210-8QA","215-8QA","219-16QA","223-4QA","228-16QA","233-12QA","247-16QA","261-16QA","269-12QA","278-16QA","18-16QR","20-12QR","21-8QR","44-8QR","54-12QR","63-8QR","94-16QR","96-8QR","109-15QR","129-16QR","132-12QR","134-8QR","135-4QR","140-12QR","144-4QR","154-16QR","165-QR","172-12QR","180-12QR","181-8QR","182-12QR","183-8QR","187-12QR","194-12QR","205-8QR","207-4QR","213-12QR","217-12QR","227-11QR","229-4QR","236-12QR","237-8QR","238-8QR","239-4QR","240-12QR","241-4QR","245-8QR","273-8QR","276-4QR","277-12QR","46-8QV","53-16QV","62-8QV","65-8QV","178-8QV","230-16QV","248-4QV","274-8QV","125-12QP","22-12QM","23-8QM","79-8QM","36-16QMu","77-","92-","118-","224-","235-"
"1902",2.371,NA,NA,1.368,NA,NA,0.717,NA,3.51,NA,NA,0.989,3.075,2.881,2.961,NA,NA,0.354,NA,0.226,3.72,1.794,3.79,1.973,NA,0.153,3.713,NA,NA,NA,NA,4.379,NA,NA,NA,3.731,NA,3.986,4.237,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.854,NA,NA,NA,NA,NA,NA,0.839,2.157,NA,2.361,NA,NA,NA,NA,NA,2.006,NA,NA,NA,NA,1.926,NA,NA,1.077,1.067,1.94,NA,NA,NA,4.632,2.008,1.618,4.11
"1903",2.618,NA,NA,1.17,NA,NA,1.164,NA,2.638,NA,NA,0.597,2.348,2.901,2.687,NA,NA,0.25,NA,0.198,2.58,2.012,4.242,2.159,NA,0.166,4.399,NA,NA,NA,NA,3.636,NA,NA,NA,3.916,NA,2.797,3.646,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.286,NA,NA,NA,NA,NA,NA,0.675,1.761,NA,2.636,NA,NA,NA,NA,NA,2.317,NA,NA,NA,NA,2.001,NA,NA,1.234,0.893,1.63,NA,NA,NA,5.847,1.798,1.442,4.1
"1904",2.751,NA,NA,1.012,NA,NA,1.222,NA,4.288,NA,NA,0.511,2.166,3.479,2.257,NA,NA,0.207,NA,0.204,2.866,1.889,3.488,1.887,NA,0.741,4.648,NA,NA,NA,NA,3.594,NA,NA,NA,4.233,NA,3.027,3.641,NA,1.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.697,NA,NA,NA,NA,NA,NA,0.593,2.349,NA,3.919,NA,NA,NA,NA,NA,1.861,NA,NA,NA,NA,2.58,NA,NA,1.197,1.385,1.623,NA,NA,NA,3.293,1.599,1.307,3.569
"1905",2.932,NA,NA,0.748,NA,NA,0.694,NA,4.115,NA,NA,0.175,1.475,2.539,2.184,NA,NA,0.389,NA,0.205,2.5,1.586,2.919,1.822,NA,1.078,3.402,NA,NA,NA,NA,4.282,NA,NA,NA,3.617,NA,3.077,3.186,NA,1.277,NA,NA,NA,NA,NA,NA,3.039,NA,NA,NA,NA,1.575,NA,NA,NA,NA,NA,NA,0.531,2.224,NA,3.181,NA,NA,NA,NA,NA,2.007,NA,NA,NA,NA,2.93,NA,NA,1.377,1.207,1.579,NA,NA,NA,4.961,1.234,1.559,3.21
"1906",3.092,NA,NA,0.788,NA,NA,0.64,NA,2.602,NA,NA,0.192,1.175,2.584,2.4,NA,NA,0.88,NA,0.123,2.055,1.756,2.874,2.095,NA,1.54,3.342,NA,NA,NA,NA,4.225,NA,NA,NA,3.063,NA,2.97,2.711,NA,1.429,NA,NA,NA,NA,NA,NA,2.719,NA,NA,NA,NA,1.38,NA,NA,NA,NA,NA,NA,0.183,1.63,NA,1.592,NA,NA,NA,NA,NA,1.991,NA,NA,NA,NA,3.917,NA,NA,1.545,1.274,1.94,NA,NA,NA,5.343,1.227,1.645,3.037
"1907",2.382,NA,NA,0.538,10.826,NA,0.476,NA,2.73,NA,NA,0.229,1.01,2.106,1.69,NA,1.363,0.993,4.518,0.175,1.594,1.403,2.055,1.656,3.426,1.618,2.626,NA,NA,NA,NA,4.144,NA,NA,NA,2.277,NA,1.849,2.831,NA,1.194,NA,NA,NA,NA,NA,NA,1.933,NA,NA,NA,NA,1.236,NA,NA,NA,NA,2.605,NA,0.286,1.009,NA,1.338,NA,NA,NA,NA,NA,1.899,NA,NA,NA,NA,3.14,NA,NA,1.276,1.197,1.785,NA,NA,NA,2.059,1.223,0.987,2.345
"1908",2.548,NA,NA,1.167,8.644,NA,0.639,NA,2.884,NA,NA,0.317,1.159,2.108,1.387,NA,1.521,1.264,6.288,0.189,2.072,1.699,2.103,2.011,3.536,1.633,3.531,NA,NA,NA,NA,5.282,NA,NA,NA,2.751,NA,2.269,3.912,NA,0.996,NA,NA,NA,NA,NA,NA,2.203,NA,NA,NA,NA,1.26,NA,NA,5.08,NA,3.149,NA,0.355,1.439,NA,2.305,NA,NA,NA,NA,NA,2.251,NA,NA,NA,NA,3.745,NA,NA,0.909,1.676,2.414,NA,NA,1.061,3.292,1.488,1.432,2.722
"1909",1.982,NA,NA,0.718,2.418,NA,0.377,NA,1.367,NA,NA,0.414,0.699,1.447,1.323,NA,1.211,1.123,2.953,0.296,1.874,1.292,1.651,1.75,2.559,1.153,2.989,NA,NA,NA,NA,3.934,NA,NA,NA,2.238,NA,2.372,2.747,NA,1.038,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,0.556,NA,NA,3.823,NA,2.281,NA,0.531,0.853,NA,2.746,NA,NA,NA,NA,NA,1.744,NA,NA,NA,NA,2.426,NA,NA,0.852,1.284,1.564,NA,0.734,0.503,3.456,1.451,1.361,2.347
"1910",2.206,NA,NA,0.745,1.372,NA,0.299,NA,1.42,NA,NA,0.528,0.989,1.268,1.288,NA,1.143,1.14,3.422,0.209,1.97,0.959,1.376,1.616,2.644,1.528,2.836,NA,NA,NA,NA,3.823,NA,NA,NA,1.595,NA,2.1,2.859,NA,0.794,NA,NA,NA,NA,NA,NA,1.579,NA,NA,NA,NA,0.764,NA,NA,4.675,NA,2.9,NA,0.464,1.243,NA,2.803,NA,NA,NA,NA,NA,1.874,NA,NA,NA,NA,1.801,NA,NA,0.748,1.342,1.696,2.755,0.868,0.603,2.209,1.127,1.137,2.519
"1911",1.459,NA,NA,0.615,0.781,NA,0.498,NA,1.362,NA,NA,0.402,1.247,1.199,1.036,NA,1.379,0.73,2.862,0.32,1.365,1.339,1.725,1.708,3.35,1.069,3.611,NA,NA,NA,3.606,4.139,NA,NA,NA,2.002,NA,2.386,2.627,NA,1.207,NA,NA,NA,NA,NA,NA,2.172,NA,NA,NA,NA,0.659,NA,NA,5.21,NA,2.533,NA,0.411,1.764,NA,2.661,NA,NA,NA,NA,NA,1.857,NA,NA,NA,NA,2.039,NA,NA,1.338,1.148,1.324,3.629,0.826,0.365,3.365,1.121,0.819,2.736
"1912",1.666,NA,NA,1.213,1.203,NA,0.449,NA,2.102,NA,NA,0.74,1.096,1.236,1.005,NA,1.879,1.271,2.508,0.416,1.928,2.098,1.983,1.526,3.037,1.595,3.204,NA,NA,NA,2.757,4.332,NA,NA,NA,2.105,NA,2.335,2.808,NA,1.288,NA,NA,NA,NA,NA,NA,2.031,NA,NA,NA,NA,0.476,NA,NA,4.535,NA,2.767,NA,0.797,1.514,NA,4.002,NA,NA,NA,NA,NA,1.865,NA,NA,NA,NA,3.027,NA,NA,0.929,1.282,1.45,3.154,1.182,1.307,4.723,1.275,0.871,2.771
"1913",1.605,NA,NA,0.787,1.192,NA,0.434,NA,2.765,NA,NA,0.313,0.944,1.437,0.787,NA,1.668,1.109,2.578,0.467,2.268,1.627,1.835,1.841,3.681,1.882,2.786,NA,NA,NA,2.285,3.688,NA,NA,NA,1.858,NA,2.009,2.6,NA,0.667,NA,NA,NA,NA,NA,NA,2.319,NA,NA,NA,NA,0.258,NA,NA,4.593,NA,2.567,NA,0.894,1.555,NA,2.594,NA,NA,NA,NA,NA,1.501,NA,NA,NA,NA,2.485,NA,NA,1.137,1.247,1.851,3.136,1.451,1.572,2.954,1.233,0.487,2.514
"1914",1.369,NA,NA,0.69,1.01,NA,0.499,NA,1.903,4.641,NA,0.195,1.212,1.108,0.903,NA,1.636,1.017,2.095,0.581,1.779,1.42,0.983,1.415,4.198,1.74,2.552,NA,NA,NA,2.49,2.754,NA,NA,NA,1.71,NA,1.853,2.17,NA,0.819,NA,NA,NA,NA,NA,NA,2.082,NA,NA,NA,NA,0.319,NA,NA,5.388,NA,2.231,NA,0.309,1.501,NA,2.037,NA,NA,NA,NA,NA,1.38,NA,NA,NA,NA,2.365,NA,1.885,0.883,0.646,1.288,2.742,1.185,1.678,1.926,1.03,0.967,2.4
"1915",2.281,NA,NA,1.23,1.585,NA,1.112,NA,2.583,2.851,NA,0.193,2.097,1.186,1.002,NA,1.677,1.262,2.224,0.657,2.254,1.433,2.004,1.713,6.592,2.888,2.913,NA,NA,NA,3.108,2.605,NA,NA,NA,2.439,NA,3.443,3.393,NA,0.92,NA,NA,NA,NA,NA,NA,3.15,NA,NA,NA,NA,0.222,NA,NA,5.458,NA,3.056,NA,1.367,2.028,NA,2.324,NA,NA,NA,NA,NA,1.454,NA,NA,NA,NA,2.639,NA,2.163,1.161,1.17,1.89,2.909,1.459,1.671,3.734,1.37,0.499,2.902
"1916",2.189,4.586,NA,0.905,1.226,NA,1.149,NA,2.257,2.098,NA,0.292,1.246,1.554,1.65,NA,1.39,1.158,1.912,0.836,2.067,1.696,1.634,1.605,4.709,2.393,2.488,NA,NA,NA,2.166,3.248,NA,NA,NA,2.621,NA,3.507,3.146,NA,1.232,NA,NA,NA,NA,NA,NA,3.548,NA,NA,NA,NA,0.386,NA,NA,4.463,NA,3.747,NA,1.979,1.992,NA,2.864,NA,NA,NA,NA,NA,1.41,NA,NA,NA,NA,2.599,NA,2.162,1.057,0.813,1.446,2.056,1.558,1.768,2.736,1.089,0.656,2.699
"1917",2.742,5.909,NA,0.82,1.988,1.944,1.301,NA,2.439,2.37,NA,0.514,1.186,1.781,2.614,NA,1.348,1.21,2.383,1.001,2.484,1.314,1.903,1.598,3.491,2.308,2.607,NA,NA,NA,1.78,3.144,NA,NA,NA,2.954,NA,3.206,2.831,NA,0.955,NA,NA,NA,NA,NA,NA,3.558,NA,NA,NA,NA,0.301,NA,NA,4.949,NA,3.32,NA,2.73,2.025,NA,3.2,NA,NA,NA,NA,NA,1.655,NA,NA,NA,NA,2.875,NA,2.3,1.347,0.743,1.088,2.478,1.444,2.547,1.674,0.878,0.458,2.626
"1918",2.376,5.146,NA,1.379,2.523,1.207,1.598,NA,2.041,1.719,NA,0.444,1.051,1.135,2.964,NA,1.167,1.189,1.832,0.968,1.41,1.265,0.944,1.155,1.89,1.692,2.433,NA,NA,NA,2.584,2.564,NA,NA,NA,2.469,NA,2.42,2.269,NA,0.791,NA,NA,NA,NA,NA,NA,3.532,NA,NA,NA,2.17,0.209,NA,NA,3.678,NA,3.155,NA,3.006,2,NA,3.012,NA,NA,NA,NA,NA,1.601,NA,NA,NA,NA,2.581,NA,2.375,0.993,0.409,0.888,2.916,1.23,3.551,3.144,0.484,0.864,2.105
"1919",2.88,7.232,NA,0.772,3.109,1.618,1.125,NA,1.722,1.946,NA,0.697,1.743,0.963,3.587,1.492,0.988,0.944,1.899,0.937,1.785,1.525,1.892,1.074,3.282,1.656,2.248,NA,NA,NA,2.328,2.563,NA,NA,NA,2.281,NA,2.163,2.325,NA,0.864,NA,NA,NA,NA,NA,NA,4.364,NA,NA,NA,2.452,0.242,NA,NA,3.928,NA,3.676,NA,3.145,2.001,NA,2.708,NA,NA,NA,NA,NA,1.654,NA,NA,NA,NA,1.853,NA,1.254,1.268,0.497,1.538,2.757,0.872,3.325,3.362,0.613,0.7,2.002
"1920",2.385,4.866,NA,1.289,3.422,2.974,1.285,NA,2.447,2.913,NA,0.658,1.769,0.976,3.174,1.75,1.211,0.79,2.232,1.158,1.508,1.277,1.75,0.959,2.334,2.628,2.266,NA,NA,NA,1.937,2.371,NA,NA,NA,2.149,NA,2.4,2.797,NA,0.787,NA,NA,NA,NA,NA,NA,5.117,NA,NA,NA,3.22,0.346,NA,NA,4.449,NA,3.485,NA,2.309,2.137,NA,2.25,NA,NA,NA,NA,NA,1.321,NA,NA,NA,NA,2.137,NA,1.485,1.291,0.475,0.946,1.685,1.149,3.194,2.003,0.604,0.682,2.08
"1921",1.997,4.365,NA,0.792,3.106,2.091,1.111,NA,0.983,2.102,NA,0.54,2.025,0.873,2.63,1.569,1.021,0.675,1.516,1.003,2.065,1.298,1.279,1.216,1.768,1.565,2.476,NA,NA,NA,1.988,2.744,NA,NA,NA,1.926,NA,2.223,2.235,NA,1.046,NA,NA,NA,NA,NA,NA,5.244,NA,NA,NA,2.833,0.417,NA,NA,3.458,NA,3.547,NA,3.595,1.467,NA,1.931,NA,NA,NA,NA,NA,1.485,NA,NA,NA,NA,1.894,NA,1.324,1.167,0.528,0.885,2.756,1.328,2.335,1.46,0.692,0.662,2.162
"1922",2.63,4.202,NA,1.079,2.127,4.39,1.818,NA,1.37,5.429,NA,0.859,2.3,1.032,2.564,1.836,1.114,0.643,1.875,1.393,2.779,1.437,1.719,0.831,4.579,3.075,3.098,NA,NA,NA,1.208,2.671,NA,NA,NA,2.451,NA,2.159,2.963,NA,0.781,NA,NA,NA,NA,NA,NA,5.171,NA,NA,NA,4.028,0.41,NA,NA,3.893,NA,3.533,NA,3.948,1.822,NA,2.788,NA,NA,NA,NA,NA,1.303,NA,NA,NA,NA,2.491,NA,2.349,1.506,0.787,1.554,2.229,1.493,3.2,2.641,0.622,1.217,2.675
"1923",1.976,2.932,NA,0.761,2.397,3.316,1.322,NA,1.29,2.678,NA,0.889,1.991,0.748,2.543,1.486,1.21,0.768,1.346,0.993,2.195,1.213,1.234,1.19,3.753,2.405,2.26,NA,NA,NA,1.583,2.52,NA,NA,NA,1.841,NA,2.181,2.208,NA,0.911,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3.82,0.733,NA,NA,3.055,NA,2.596,NA,3.364,1.501,NA,2.701,NA,NA,NA,NA,NA,1.156,NA,NA,NA,NA,1.88,NA,2.306,1.268,0.712,1.182,2.298,1.101,3.061,2.305,0.839,1.003,2.235
"1924",1.886,3.358,NA,0.762,3.61,3.752,0.872,NA,1.638,3.651,NA,1.368,2.222,0.803,2.315,1.612,1.238,0.78,1.459,1.001,2.432,1.084,1.496,1.278,4.478,2.566,2.954,NA,NA,NA,1.173,2.277,NA,NA,NA,1.887,NA,2.841,2.347,NA,0.809,NA,NA,NA,NA,NA,NA,4.905,NA,NA,NA,2.7,0.611,NA,NA,3.567,NA,2.725,NA,1.784,1.676,NA,3.471,NA,NA,NA,NA,NA,1.067,NA,NA,NA,NA,1.845,NA,3.267,1.023,0.538,1.221,2.294,1.294,1.981,2.289,0.832,0.735,2.479
"1925",2.128,4.345,NA,0.981,3.304,3.904,1.209,NA,1.953,3.482,NA,1.323,3.179,0.658,2.756,1.821,1.245,0.98,1.574,0.668,1.895,1.574,1.339,2.193,3.484,2.408,4.616,NA,NA,NA,1.33,2.306,NA,NA,NA,2.186,NA,2.325,1.899,NA,0.813,NA,2.605,NA,NA,NA,NA,5.093,NA,NA,NA,2.996,0.942,NA,NA,3.113,NA,3.02,NA,1.858,1.551,NA,3.389,NA,NA,NA,NA,NA,1.444,NA,NA,NA,NA,2.118,NA,3.545,1.387,0.576,1.361,2.109,0.856,3.349,2.453,0.994,0.703,1.834
"1926",2.578,4.574,NA,0.344,2.143,3.96,1.203,NA,2.254,2.151,NA,1.329,1.607,0.658,2.122,1.677,1.501,1.445,0.667,0.711,1.957,1.174,1.291,1.523,3.277,1.848,3.402,NA,2.149,NA,1.762,2.159,NA,NA,NA,2.294,NA,1.941,2.292,NA,0.852,NA,2.271,NA,NA,NA,NA,4.071,NA,NA,NA,2.53,1.79,NA,NA,3.187,NA,2.874,NA,1.417,0.937,NA,3.087,NA,NA,NA,NA,NA,1.164,NA,NA,NA,NA,1.96,NA,2.893,1.083,0.39,1.316,2.611,0.792,1.05,1.573,1.258,0.7,1.71
"1927",1.769,3.573,NA,0.323,2.43,3.073,0.789,NA,1.936,2.016,NA,1.922,2.382,0.883,2.441,2.332,1.351,1.113,0.663,0.792,2.457,1.377,1.835,1.831,1.878,2.008,2.056,NA,2.304,NA,2.3,1.886,NA,NA,NA,2.028,NA,2.236,2.141,NA,1.033,NA,2.802,NA,NA,NA,NA,3.918,NA,NA,NA,3.522,1.684,NA,NA,3.037,NA,2.644,NA,1.085,1.383,NA,2.782,NA,NA,NA,NA,NA,1.075,NA,NA,NA,NA,2.126,NA,2.617,1.147,0.429,1.235,2.551,1.206,1.382,2.162,1.901,0.851,1.574
"1928",1.384,2.905,NA,0.41,4.305,2.983,0.924,NA,1.546,2.979,2.392,2.186,2.475,1.011,2.357,2.875,1.295,1.107,0.899,0.695,2.604,1.474,2.105,1.331,1.706,1.945,2.18,NA,3.074,NA,1.492,2.633,NA,NA,NA,2.344,NA,1.913,2.145,NA,0.957,NA,3.283,NA,NA,NA,NA,3.874,NA,NA,NA,3.367,1.368,NA,NA,2.838,NA,3.53,NA,0.947,1.468,NA,2.692,NA,NA,NA,NA,NA,1.274,NA,NA,NA,NA,1.861,NA,3.174,1.355,0.383,1.35,2.522,1.41,1.664,2.022,1.721,0.521,1.515
"1929",1.052,2.807,2.48,0.422,3.698,2.668,1.076,NA,1.928,2.6,2.356,2.636,2.177,0.967,2.316,2.123,1.199,1.018,0.899,0.803,2.408,1.316,1.273,1.734,1.533,1.668,1.968,NA,2.556,NA,2.226,2.799,NA,NA,NA,2.174,NA,2.109,2.331,NA,1.379,NA,2.729,NA,NA,NA,NA,4.024,NA,NA,NA,2.819,1.326,NA,NA,2.258,NA,3.848,NA,1.042,1.72,NA,2.668,NA,NA,NA,1.136,NA,1.389,NA,NA,NA,NA,1.314,2.206,2.422,1.77,0.362,1.833,1.927,0.81,2.392,2.024,2.488,0.607,1.382
"1930",1.562,4.343,2.527,0.592,4.587,3.622,1.097,NA,1.495,3.038,1.904,3.264,1.952,0.861,2.446,2.012,1.338,1.14,1.122,0.975,2.411,1.142,1.346,1.419,1.902,1.454,2.137,NA,2.173,NA,2.485,2.86,NA,NA,NA,2.305,NA,1.679,2.645,NA,1.065,NA,3.28,NA,NA,NA,NA,3.517,NA,NA,NA,2.691,1.218,NA,NA,2.33,NA,4.321,NA,1.425,1.736,NA,2.379,NA,NA,NA,0.879,NA,1.49,NA,NA,NA,NA,1.637,2.046,2.477,1.836,0.463,2.524,1.759,1.253,2.465,3.058,1.733,0.536,1.347
"1931",1.388,4.363,2.635,0.569,6.246,2.485,1.114,NA,0.955,3.024,3.403,3.234,2.275,0.912,2.965,3.224,1.518,0.986,1.177,1.168,3.37,1.407,1.789,1.957,2.093,1.264,2.23,NA,3.24,NA,2.047,3.329,NA,NA,NA,2.308,NA,2.276,2.356,NA,1.259,NA,3.455,NA,NA,NA,NA,3.764,NA,NA,NA,2.498,1.321,NA,NA,2.994,NA,4.412,NA,1.909,3.047,NA,2.125,NA,NA,NA,1.72,NA,1.639,NA,NA,NA,NA,2.047,1.908,2.642,1.592,0.432,1.471,1.659,1.132,3.973,3.032,2.407,0.7,1.073
"1932",1.624,3.92,3.212,0.822,7.602,2.543,0.898,NA,1.109,2.973,2.729,3.366,2.089,0.898,2.25,3.196,1.41,0.884,1.021,1.838,2.772,1.434,1.349,2.303,2.119,1.414,2.189,NA,3.001,NA,1.649,2.632,NA,NA,NA,1.876,NA,1.877,1.801,NA,1.288,NA,3.511,NA,NA,NA,NA,3.573,NA,NA,NA,2.59,2.056,NA,NA,2.635,NA,3.781,NA,2.185,2.698,NA,1.884,NA,2.461,NA,1.553,NA,1.433,NA,NA,NA,NA,1.63,1.8,2.727,1.737,0.566,1.082,1.936,1.18,4.037,2.322,2.952,0.75,1.512
"1933",1.514,4.043,2.182,0.615,4.917,1.82,1.754,NA,1.022,2.224,1.727,2.456,1.715,0.728,2.108,3.816,1.378,0.84,0.719,2.769,2.691,1.265,1.263,1.849,1.747,1.163,2.184,NA,2.829,NA,1.542,1.922,NA,NA,NA,1.844,NA,1.383,1.649,NA,1.166,NA,2.014,NA,NA,NA,NA,3.175,NA,NA,NA,2.678,2.231,NA,NA,2.209,NA,2.987,NA,2.213,2.288,NA,1.666,NA,1.968,NA,2.058,4.262,1.379,NA,NA,NA,NA,1.36,1.693,1.957,1.163,0.656,1.3,2.414,0.933,2.548,2.165,3.374,0.783,1.528
"1934",1.473,3.277,1.628,0.633,4.75,1.561,2.285,NA,0.907,3.394,2.384,3.005,2.659,0.653,1.672,2.462,1.213,0.668,0.462,2.086,1.914,1.392,1.526,1.326,1.711,1.014,1.474,NA,2.405,NA,1.042,1.72,NA,NA,NA,1.921,NA,1.426,1.234,NA,1.195,4.78,2.758,NA,NA,NA,NA,2.559,NA,NA,NA,2.452,2.205,NA,NA,2.291,NA,2.754,NA,1.953,2.532,NA,1.571,NA,1.498,NA,2.735,3.396,1.173,NA,NA,NA,NA,1.317,1.617,1.858,1.994,0.547,1.419,2.218,0.623,3.977,2.516,2.115,0.878,1.205
"1935",1.941,2.806,2.643,0.564,5.698,2.512,2.347,NA,2.408,5.171,3.498,3.638,2.93,0.792,2.806,3.428,1.386,0.771,0.882,3.212,2.904,1.332,2.385,1.678,2.296,1.739,2.328,NA,3.129,NA,1.277,2.257,NA,NA,NA,2.683,NA,1.66,2.092,NA,1.391,7.22,4.234,NA,NA,NA,NA,3.128,NA,NA,NA,3.297,1.505,5.791,NA,2.97,NA,4.185,NA,2.711,3.281,NA,1.669,NA,2.774,NA,1.551,5.04,1.81,NA,NA,NA,NA,2.292,1.924,1.997,1.758,0.848,1.328,3.504,1.03,3.229,4.499,2.606,0.713,1.302
